TeamName,ProjectTitle,ProjectAbstract
Roadrunner Rocketeers,NASA Student Launch 2025,"The NASA Student Launch Competition is a contest where students are tasked with delivering proposals, design reviews, and presentations of an original rocket design. The rocket must reach an apogee of 4,000-6,000 feet and transmit flight data to a NASA receiver over the 2M-band radio transmission frequency. "
Insight Engineers,Fabric Relaxing Machine,"Textile operations require some pre-processing of raw fabric rolls before they are turned into garments. This process is known as fabric relaxation and involves unrolling these commercial rolls of fabric, laying them to rest and releasing the tension stored within the weave from when the roll was spun in the factory. Currently, our sponsor does this entirely by hand. With over 60% of their workforce having some level of vision-loss, they are requesting us to design a machine that can automate this process to improve efficiency and introduce accessibility for the machine to be operated by someone with vision loss."
AeroRunners,Design and Analysis for a Metal 3D Printed Turbine Blade for a Jet Engine,"The senior design project aims to study, design, and analyze a 3D Metal-Printed turbine blade for a jet engine. Traditional manufacturing methods such as investment casting or sand casting, are widely used for turbine productions, whereas 3D metal printing offers potential cost reduction and shorter lead times, especially for complex geometry. The team will utilize and implement UTSA’s metal 3D printer to design the turbine blade with imbedded cooling ports. Deliverables will include a detailed SolidWorks model, an FEA and CFD analysis. Furthermore, the functionality parameters will be derived based on the analysis."
C.R.A.M,Electric Starter for Large Bore Engines,"The increased interest in independence from fossil fuels to combat global warming has created the need for an electric starter that can start a large bore gas engine. Large bore engines use compressed air to drive ring gear starters but large compressors are required, which use a large amount of electricity that can be difficult to provide in remote areas. The main goal of the project is to design an electric starter that can provide the 70,000 ft-lbs of torque at the driveshaft of the engine to start it, as well as maintain the engine at 60 RPM. 

"
Autosight Systems,Automated Part Inspection and Defect Classification System,"The scope of this project is to create an automated part inspection and defect classification system.  The mechanics of this system involve a part loading system paired with a part positioning system to automatically manipulate workpieces for inspection.  This system will achieve movement about two linear axes, and 3 rotary axes (X,Y,A,B,C).  Parts are inspected by use of a stereo microscope on a boom stand, with option for manual operation, or automated image capture.  This allows for the bulk inspection of a variety of parts for surface defects in an environment with low or no tolerance for failures.  "
SpringSpan Solutions,Fatigue Inspection Tester ,"Sandia National Laboratories faces challenges with small-diameter springs due to manufacturing defects and inaccurate fatigue testing. Current methods do not replicate real-world conditions, causing inconsistencies in load, displacement, and frequency. This project will design a compact, portable device to accurately simulate the stress springs experience during actual use. It will test multiple springs simultaneously, mimicking real displacement and frequency patterns. Cameras will capture images from three angles before and after testing to analyze deformation. Combined with time/load and time/displacement data, this will improve predictions of spring fatigue life and enhance product quality."
To Be Designed Engineering,I.C.E. Analyzer,"Lancer Worldwide is a company that produces post-mix carbonated beverage dispensers and related products. An integral part of many post-mix beverage dispensers is ice storage and delivery (dispensing). Ice storage bins on top of beverage dispensers house agitators and various delivery mechanisms that must be optimized to ensure maximum ice quality at the point of delivery to the customer. In order to quantify improvements made to ice agitation and delivery mechanisms, this team was tasked with the design and production of a piece of test equipment that will quantify the ""quality"" of ice samples collected from a beverage dispensing unit. The ""quality"" of ice pertains to the amount of degradation and changes in physical properties it has experienced through the storage, agitation, and delivery processes within the dispenser."
Einstein Spawns​,Optimizing Condensate Usage to Improve Air Conditioner Efficiency​,"This project addresses the inefficient condensate distribution in Friedrich air conditioning units, where a “slinger ring” is currently employed to spread condensate across the condenser coil. This traditional approach fails to achieve even distribution, limiting the system’s potential for optimal heat transfer. The project’s primary goal is to develop innovative methods for more effective condensate transfer onto the condenser coil and design an integrated subcooling loop. This loop will enhance heat exchange between the refrigerant and condensate, significantly improving system efficiency while ensuring compliance with industry standards, regulations, and cost-effective manufacturing."
Engineers in Motion,Performance Testing of a General-Purpose Lunar Vehicle ,"This senior design project aims to develop an experimental framework to assess the performance of a lightweight lunar vehicle for regolith transportation. The vehicle will be configured with four-wheel drive, each motorized, and capable of navigating varied terrain, including slopes up to 20 degrees and rocky surfaces. The project will involve designing, fabricating, and testing a platform to measure driving power, energy consumption, and drawbar force in simulated lunar conditions. Instrumentation will capture key performance data, providing insights crucial for future lunar infrastructure development under NASA's Artemis program."
Orion Engineering ,Secure Registration &amp; Titles Kiosk ,"This project proposes the current development of a secure and convenient kiosk for handling title and registration services, with the capability of dispensing license plates. This kiosk will integrate advance technology to streamline the registration process allowing users to complete transactions quickly and efficiently reducing lines at the DMV or other local offices. This kiosk will be robust in material including surveillance systems to deter tamping or theft ensuring the safety of sensitive information. This kiosk design prioritizes accessibility to every individual and aims to modernize vehicle registration services while obtaining security protocols. "
