PosterID,TeamName,ProjectTitle,ProjectAbstract,SponsorName
1,Absolute Stability,Foot-Powered Nebulizer,"Respiratory disease is a widespread problem in displaced communities, where nebulizer devices are among the most effective methods of treatment. These devices typically rely on electricity to power coils or compressors that aerosolize medication for inhalation and delivery to the lungs. However, in areas without readily available electricity, traditional methods of powering inhalation devices become inaccessible. Absolute Stability's solution is to develop a human-powered device that delivers the correct dosage for effective respiratory treatment while maintaining a simple, easily reproduced, and maintainable design to empower under resourced communities.",
2,BAM (Biomedical and Applied Mechanics),ISR Junctional Tourniquet,"Junctional hemorrhage, occurring at sites such as the groin and neck, remains a leading cause of preventable death in trauma settings. Current tourniquet designs are often bulky, time-consuming to apply, and difficult to position correctly. Our team aims to develop a lightweight, rapidly deployable junctional tourniquet optimized for the femoral, aortic, and subclavian regions to improve time-to-occlusion and ease of use. This device offers faster, simpler bleeding control, reducing complications and improving survival chances in critical situations. Using CAD modeling and biomechanical analysis, it applies targeted compression to quickly stop bleeding, enhancing the survivability of military personnel and first responders.",U.S. Army Institute of Surgical Research
3,BEAST,BEAST: Biomechanical Evaluation Apparatus for Soft Tissues,"The BEAST is a novel and innovative testing system designed to bridge a critical gap in biomechanical research by enabling controlled, constant-velocity compression of soft tissues at physiologically relevant strain rates, something rarely achieved in existing testing platforms. Utilizing a belt-driven actuator with an integrated release mechanism, BEAST achieves precise compression velocities between 2–5 m/s while maintaining safety and repeatability. The data collected from this apparatus will advance the development of accurate computational models, guide material design for biomedical implants, and deepen understanding of tissue behavior in trauma and surgical applications.","Morteza Seidi, Ph.D., P.E."
4,Biofrost,Arctic Wound Stabilization Device,"Traumatic injuries sustained in cold or arctic environments pose significant challenges for emergency care providers, as low temperatures can worsen tissue damage and complicate wound management. This project focuses on developing a system to improve the treatment of traumatic limb injuries under these conditions by integrating thermal regulation and pressure distribution principles. The design process incorporates research on biomedical materials, heat transfer mechanisms, and ergonomic optimization to ensure functionality, portability, and safety. Through progressive analysis and evaluation, the project aims to enhance clinical outcomes and support personnel operating in extreme environments. ",Teja Guda
5,BonSimpaGra,Cryo Staple Removal Tool,"Nitinol staples can be challenging to explant during revision procedures because their super-elastic fixation resists deformation. Cooling the staple induces a reversible transformation toward the martensitic phase, reducing clamping force and enabling easier removal. This project will design and prototype a handheld device that rapidly cools the staple while minimizing lateral thermal spread to adjacent tissue. The anticipated impact is a less traumatic, safer extraction with lower required forces, improved suitability for minimally invasive techniques, streamlined workflow, shorter operative time, and reduced collateral tissue damage.",Don Petersen
6,CogniBlue,RowEase,"RowEase presents a customized rowing system developed for a QL+ veteran sponsor with a transtibial amputation who previously enjoyed rowing. The design integrates a modified transtibial socket and an adjustable footrest attachment that securely interfaces with below-the-knee prosthetics. Using mechanical design principles, 3D modeling, and user-centered prototyping, the system minimizes behind-the-knee pressure and enables the full range of motion required for rowing. Constructed with lightweight composites and precision-fitted contours, the design approach can be adapted to improve comfort and performance for other transtibial amputees in seated sports.",Quality of Life+
7,EAZI Solutions,LymphLink,"Heart failure patients often experience lymphatic dysregulation, resulting in lower extremity and pulmonary edema. Historically, access to the thoracic duct was achieved through surgical cannulation under local anesthesia. While functional, this invasive approach is no longer in clinical practice and underscores the need for a minimally invasive, durable, device-based method to safely access lymphatic drainage. EAZI Solutions introduces Lymph Link, a subcutaneous port that provides direct and simplified thoracic duct access, offering a novel therapeutic approach to enhance lymphatic drainage, improve fluid management, and treat lymphatic congestion in heart failure patients. ",Dr.Feldman Cardiovascular Research Laboratory
8,Endosense,Advancing Endometriosis Diagnosis with Affordable Point-of-Care Technology,"Endometriosis is a chronic, incurable condition affecting approximately 1 in 10 women of reproductive age worldwide, often resulting in severe pain, infertility, and delayed diagnosis. To address the lack of accessible screening options, our team is developing a compact, affordable , non-invasive testing device that utilizes urine samples to provide rapid, color-based feedback. The system detects characteristic chemical signatures associated with endometrial inflammation and hormonal imbalance, displaying clear visual indicators that users can interpret easily. This approach aims to empower individuals to monitor their reproductive health and seek medical guidance earlier, improving overall awareness and management of endometriosis.",Dr. Teja Guda
9,Five Star Engineering,K9Align,"Dogs experiencing rear-end muscle atrophy often struggle to squat and maintain balance when using the restroom, leading to discomfort and increased reliance on handlers. This project focuses on the development of an assistive device to support dogs when attempting defecation. The system provides stability and balance while the dog squats, minimizing the risk of falls and reducing the need for handler assistance. The K9Align is designed to be lightweight, easy to clean, and adjustable to accommodate different dog breeds. The primary objective is to enhance mobility and independence for dogs experiencing muscle weakness while reducing physical strain on their handlers.

",Novothelium
10,Sanguine US,Smart Junctional Tourniquet,"The BaTS (Base and Tightening Straps) Smart Junctional Tourniquet is an AI-enabled, ultrasound-guided device designed to improve hemorrhage control in challenging anatomical regions such as the neck, groin, and armpit. By integrating ultrasound imaging with machine learning, the system assists users in accurately locating and occluding major blood vessels without requiring advanced medical training. The BaTS prototypes demonstrate comparable occlusion times to traditional junctional tourniquets when tested on ultrasound-compatible femoral phantoms. Combining AI guidance and automated tightening mechanisms, the BaTS offers a promising, field-deployable solution for rapid and effective hemorrhage control at the point of injury.",United States Army Institute of Surgical Research
11,SEALS,Soft-Robotic Laryngoscope Control System (SR-LCS),"In airway management, every second counts, and failed intubation can lead to serious complications. At SEALS, we're redefining airway management with a next-generation laryngoscope that brings robotic precision to intubation. Our device houses the control system aimed to pneumatically control the Novel Endotracheal Tube System from the Medical Design Innovations Lab: a multi-channel tube that inflates distal air channels to steer within the anatomy of the upper airway. By integrating automated air control, this next-generation laryngoscope enables clinicians to guide the tube's curvature with unmatched accuracy where visibility is limited, reducing trauma and ensuring safer, smoother airway access.",Dr. Lyle Hood
12,Skanner,Skanner,"Skanner is a handheld multispectral imaging device designed for the noninvasive detection of melanoma and other skin abnormalities. The device integrates optical imaging with AI-driven analysis to differentiate malignant from benign lesions through pigment characterization and subsurface light scattering. Using multispectral light capture and deep learning, Skanner delivers rapid, accurate diagnostic feedback. Its compact, rechargeable design ensures portability and ease of use for primary care providers. By minimizing operator dependence and enhancing diagnostic precision, Skanner advances early melanoma detection, improves patient comfort, and streamlines clinical workflows for accessible, efficient dermatological assessment.",
13,VITA,VITA Horse Anti-Cribbing Device,"The VITA Horse Anti-Cribbing Sleeve delivers a humane and effective approach to mitigate cribbing behavior in horses through a multi-sensor detection and feedback system. By integrating stretch-based muscle sensing, inertial motion tracking, and acoustic monitoring, the device identifies cribbing-specific neck muscle contractions and characteristic noise patterns while distinguishing them from normal behaviors such as grazing or drinking. Real-time data processing executed on an embedded microcontroller enables precise behavioral recognition and triggers a gentle vibration stimulus designed to interrupt cribbing without causing discomfort. Engineered with lightweight, flexible materials that ensure comfort and stable sensor contact, the VITA sleeve supports long-term wear and reliable performance in equine environments. As a low-power, rechargeable solution, it enhances animal welfare, reduces the risk of complications associated with cribbing, and offers a practical, non-invasive alternative to traditional cribbing collars- advancing modern stable management through responsive and animal-friendly behavioral intervention. ",
14,Zero G Solutions-BME,Space Injury Detection & Rehab Device (SIDR Device),"Current treatments for crush injuries aboard the space station focus on immobilization and medication, offering minimal means for injury detection and rehabilitation. In microgravity, muscle and bone atrophy occur rapidly, making recovery even more difficult. To address this challenge, our team is developing an integrated injury detection and rehabilitation device for use in microgravity. The system detects muscle damage, stabilizes the affected area, and delivers targeted therapeutic rehabilitation to promote recovery. By enabling immediate intervention and minimizing reliance on external assistance, this device enhances astronaut safety and mission sustainability.",Teja Guda
15,Zero G Solutions-ME,Space Injury Detection & Rehab Device (SIDR Device),"Current treatments for crush injuries aboard the space station focus on immobilization and medication, offering minimal means for injury detection and rehabilitation. In microgravity, muscle and bone atrophy occur rapidly, making recovery even more difficult. To address this challenge, our team is developing an integrated injury detection and rehabilitation device for use in microgravity. The system detects muscle damage, stabilizes the affected area, and delivers targeted therapeutic rehabilitation to promote recovery. By enabling immediate intervention and minimizing reliance on external assistance, this device enhances astronaut safety and mission sustainability. 

 ",Teja Guda
16,Airway Solutions,Design and Development of a Compact High-Performance Pump for Portable Medical Suction Devices,"This project focuses on the design of a compact, high-performance pump intended for future use in portable medical suction devices. Current market options that meet ISO standards are often too heavy, too large, or do not provide the desired flow rate that will satisfy the sponsor's specifications. The goal is to develop a lightweight and efficient pump that delivers a strong power-to-motion ratio while maintaining compliance with ISO requirements. By prioritizing size reduction and performance optimization, the design aims to enable the next generation of portable, reliable, and medically approved suction technology. ",Medical Design and Innovations Laboratory
