TeamName,ProjectTitle,ProjectAbstract
String Theorists,Automated String Machine,"The Automated String Machine is a revolutionary solution for reducing labor time and string waste in tennis racket stringing. Tennis rackets have different head sizes and string patterns, yet most stringers still use the same string length for every racket when restringing; this leads to a lot of wasted string over time. Our system automates measurement, cutting, and coiling, drastically reducing service time and ensuring exact string length for any given racket. The primary
functions of extrusion, coiling, and cutting are executed by two stepper motors and a servo motor, each precisely controlled through a dedicated microcontroller. User-friendly controls enhance efficiency and productivity, benefiting stringers, businesses, and tennis enthusiasts alike."
AuthentiTech,Lab Sign-In System,"The Lab Sign-In System (LSIS) streamlines student access
to laboratory spaces by using their student ID for checking in
and out during lab sessions. Upon sign-in, students are
directed to vacant lab stations to conduct their
exercises. Each station is equipped with an interactive
sign device allowing students to signal instructors or TAs
regarding their needs using a switch that activates a light.
LSIS enhances lab management by automating sign-in
processes and facilitating communication between
students and instructors."
Bits and Bites,Hands-Free Dental Loupe with Spectrally Tunable Light,"This project aims to develop a hands-free dental loupe with a tunable light system. By integrating adjustable LEDs and a smartphone app to control light frequencies, dentists can customize intensity and color for various procedures. This enhances accuracy and efficiency while minimizing risks of premature curing and cross-contamination. The design process includes analyzing phase 1 (completed Fall 2023), selecting improved LED technologies, color mode selection, lenses, housings, and battery systems, while ensuring compliance with regulatory standards and optimizing for comfort and usability."
Team Stealth,AI Wearable Communicator,"The AI Wearable Communicator (AWIC) is a compact device that translates foreign languages into the user's desired language. Developed by Team Stealth, it aids communication across languages using Wi-Fi and Bluetooth-capable microcontrollers. Equipped with a speaker, microphone, external buttons, and an external battery, it removes language barriers in travel, business meetings, and many other situations. Operating through an API interface, the device facilitates seamless communication, enhancing accessibility for users of all backgrounds. AWIC's aim is to decrease a person's communication anxiety and
stress in a foreign world."
ModiFly - AID,Autonomous Intelligent Drone (AID),"The Autonomous Intelligent Drone (AID) project (in collaboration with the Unmanned Systems Lab) is a project aimed at developing a cost-effective, counter UAS drone. The AID project tackles the issue of safety in reference to the lack of standardized C-UAS systems by presenting a definitive edge solution that both outplays current options and provides the start to standardization
in C-UAS technology. The project consists of two parts. First, the utilization of AI to determine enemy vehicles via 'edge' detection. The second part of the project focuses on development of an
effective physical solution through deployment of a net."
San Antonio Innovators,My Texas Tags,"The My Texas Tags project overhauls the vehicle registration process for Texas residents. This innovative project seeks to improve time efficiency and data security. Users will be able to upload documents using the new portal from the comfort of their own home or using a local kiosk location. When using the new portal or kiosk, user information is reviewed using AI processing software which allows for real time feedback. All verified and approved personnel data is then stored in a secured database. Once the process is completed, consumers can conveniently print their registration renewal stickers at a local Texas Tag &amp; Title kiosk location."
Legacy Lions,Multipurpose Sanitize,"
The Multipurpose Sanitizer Box is a portable device designed to eliminate bacteria, viruses, and
germs using dry heating and UV-C light. It ensures safe and efficient sanitization of various
items, ideal for both home and professional use. Powered by a 9V battery, the box features
user-friendly operation and essential safety mechanisms like automatic shutoff and child lock.
This device addresses the growing need for reliable hygiene solutions, providing a convenient
and effective way to maintain cleanliness and promote health."
SED_T,Seasonal Affective Disorder Light Therapy Emitting Phone Case w. App,"The SAD Light Therapy Project is designed to provide an effective light therapy treatment solution for individuals suffering from Seasonal Affective Disorder (SAD). LED light therapy is integrated with a mobile app that allows for remote control of therapeutic light intensity through Bluetooth technology. A 3D-printed case has been created for portability and durability, securely housing the electronics, while diffusion sheets enhance light distribution. The solution is aimed at improving accessibility and customization of light therapy, offering a reliable, compact design to support mental health and well-being."
Skynet,Genisys Guard,"GENeral Immobilizer SYStem (Genisys) Guard is an external fail-safe system engineered to terminate Malfunctioning Unmanned Systems (MUS) and provide tracking capabilities to facilitate recovery operations. Sponsored by SwRI Applied Power Division, Genisys Guard is a solution that can be implemented to a variety of MUS to mitigate risk caused by potential malfunctions. Genisys Guard allows for manual termination via a mobile remote featuring a shutoff button and user display, or automatic shutdown through predefined parameters such as signal loss. Following termination, Genisys Guard transitions to recovery mode, sending GPS coordinates to the base station."
Magic Mitts,Smart VR Gloves,"The Smart VR Glove is an affordable innovation in virtual reality technology that offers users an immersive and realistic experience across standard VR systems.  It utilizes a novel electromagnetic braking system and haptic actuators to provide precise tactile feedback, simulating the sensation of touch and grasp in the virtual world. Enhanced by our own self-developed hardware driver, the glove's flex-sensitive resistors offer superior finger-tracking accuracy. This wireless, rechargeable battery-powered glove is designed to provide VR users with a more natural VR experience, setting a new benchmark for affordability, compatibility, and interactivity in virtual environments."
Heartbeat Heroes,VenoViva,"Venoviva is an ECMO (Extracorporeal Membrane Oxygenation) casualty response unit, designed to simulate critical failure scenarios in ECMO systems used in medical settings. The device enables healthcare professionals to train for emergencies such as air embolism, access insufficiency, oxygenator failure, gas supply issues, and pump malfunctions. By simulating these situations in real time, Venoviva improves training and response readiness, ultimately enhancing patient outcomes during life-threatening conditions. The unit is adaptable, supporting both preset simulations and manual control to replicate various failure types."
