DisplayName,Title,Summary,Featured,EventStartDate,EventEndDate,EventStartTime,EventEndTime,AllDayEvent,DefaultImage,Details,Location,LinkTitle,LinkURL,OnlineEventLinkTitle,OnlineEventLink
CIRTL Monthly Meeting,CIRTL Monthly Meeting,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",N,8/28/25,8/28/25,12:00 PM,1:00 PM,N,Y,"Monthly Center for the Integration of Research, Teaching and Learning (CIRT) cohort discussion to share ongoing program details and upcoming courses for new and current members.",Virtual (Zoom),,,,
Postdoctoral Fellows Orientation,Postdoctoral Fellows Orientation,Postdoctoral Fellow Orientation will introduce resources and other essential programs to incoming fellows.,N,9/3/25,9/3/25,9:00 AM,12:00 PM,N,Y,This event will introduce resources and other essential programs to incoming postdocs to ensure they to get best out of their time at the university.,H-E-B Student Union - Travis & Harris Room (HSU 2.202),Register Now,https://utsa.campuslabs.com/engage/event/11316627,,
Downtown Campus Networking Event,Downtown Campus Networking Event,You're invited to celebrate the start of the fall semester at our Downtown Campus Networking event to develop a professional network and build a community with your peers during Roadrunner Days! ,N,9/4/25,9/4/25,4:30 PM,6:00 PM,N,Y,"The Graduate School invites graduate students and postdocs to celebrate the start of the fall semester at our Downtown Campus Networking event during Roadrunner Days! This is a perfect opportunity for graduate students to develop a professional network, build a community with their peers and learn about upcoming Graduate School events.",Buena Vista Building 1.338 - Assembly Room ,Register Now,https://utsa.campuslabs.com/engage/event/11283495,,
First Friday,First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,9/5/25,9/5/25,9:00 AM,11:00 AM,N,Y,Kick off the fall semester with us at First Friday! This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts. You will also receive information regarding Graduate School resources for your professional and career development.,Student Union 2.01.28 - Denman,Register Now,https://utsa.campuslabs.com/engage/event/11386074,,
Three-Minute Thesis (3MT) Bootcamp,Three-Minute Thesis (3MT) Bootcamp,"This bootcamp is a special,required training session for graduate and doctoral students interested in participating in the 3MT Competition this fall. The 3MT Bootcamp is mandatory for students who are interested in competing in October 2025.",N,9/6/25,9/6/25,10:00 AM,12:00 PM,N,Y,This bootcamp is a special training session for graduate and doctoral students interested in participating in the 3MT Competition this fall. The 3MT Bootcamp is mandatory for students who are interested in competing in October 2025.,John Peace Library 4.04.22 - Assembly Room ,Register Now,https://utsa.campuslabs.com/engage/event/11346661,,
Postdoctoral Affairs Seminar Series: Immigration Education and Status Maintenance,Postdoctoral Affairs Seminar Series: Immigration Education and Status Maintenance,"This session, open to postdoctoral fellows, will cover the topic of Immigration Education and Status Maintenance led by Ashley Wallace, Director of International Student and Scholar Services.",N,9/8/25,9/8/25,12:00 PM,1:00 PM,N,Y,"This session, open to postdoctoral fellows, will cover the topic of Immigration Education and Status Maintenance led by Ashley Wallace, Director of International Student and Scholar Services.",Virtual (Zoom),,,,
Professional and Career Development 1: Beyond the Basics: Elevating Your Academic CV,Professional and Career Development 1: Beyond the Basics: Elevating Your Academic CV,"In this interactive session, graduate students and postdocs will learn the basic structure of a CV  and advanced strategies to enhance the presentation of their document. ",N,9/10/25,9/10/25,12:00 PM,1:00 PM,N,Y,"In this interactive session, graduate students and postdocs will learn the basic structure of a CV and how it differs from a resume. Participants will evaluate distinct examples of CVs and learn advanced strategies to enhance the presentation of their document. ",Student Union 2.02.12- Willow Room,Register Now,https://utsa.campuslabs.com/engage/event/11366898,,
Postdoctoral Appreciation Week Symposium,Postdoctoral Appreciation Week Symposium,The Postdoctoral Appreciation Week Symposium will bring together postdoctoral fellows across campus to present their research and network with peers. ,N,9/15/25,9/15/25,8:00 AM,5:00 PM,N,Y,The Postdoctoral Appreciation Week Symposium will bring together postdoctoral fellows across campus to present their research and network with peers. This event is open to the entire campus community to learn about their work during the poster competition and keynote.,"Student Union 2.02.02 - Retama Auditorium and Galleria
Student Union 2.01.28 - Denman ",,,,
Thriving in Grad School: Time and Stress Management,Thriving in Grad School: Time and Stress Management,"Graduate students are invited to join us for this session covering practical strategies for prioritizing tasks, creating realistic schedules and combating stress through mindfulness techniques.",N,9/17/25,9/17/25,3:00 PM,4:00 PM,N,Y,"Graduate school can be stressful, but with the right tools, you can manage your time and reduce stress effectively. Join us to learn practical strategies for prioritizing tasks, creating realistic schedules and combating stress through mindfulness techniques.

This workshop will provide you with actionable tips to help you work smarter, not harder throughout your graduate school journey.","Biotechnology, Sciences, and Engineering Building 2.102 - Multipurpose Room",Register Now,https://utsa.campuslabs.com/engage/event/11258007,,
Career Pathways-The Entreprenurial Spirit: Becoming a Small Business Owner,Career Pathways-The Entreprenurial Spirit: Becoming a Small Business Owner,"Join us for an engaging workshop designed to empower aspiring and current small business owners with the skills, knowledge and mindset needed to thrive in the entrepreneurial world.",N,9/18/25,9/18/25,12:00 PM,1:00 PM,N,Y,"Join us for our first Career Pathways workshop of the fall semester, designed to empower aspiring and current small business owners with the skills, knowledge and mindset needed to thrive in the entrepreneurial world. Discover the key traits of successful entrepreneurs—curiosity, creativity, resilience, adaptability and the courage to take calculated risks—and learn how to cultivate and apply them to your business journey.

This session is perfect for:

Aspiring entrepreneurs
Startup founders
Small business owners seeking growth strategies
Anyone interested in developing an entrepreneurial mindset
Hear firsthand from UTSA alumni small business owners as they share their experiences, insights, and answer your questions.",Virtual (Zoom),,,Register Now,https://utsa.zoom.us/meeting/register/06se3iNzRfCnW2c2FsNBdA
