DisplayName,Title,Summary,Featured,EventStartDate,EventEndDate,EventStartTime,EventEndTime,AllDayEvent,DefaultImage,Details,Location,LinkTitle,LinkURL,OnlineEventLinkTitle,OnlineEventLink
Nature Masterclass Workshop,Nature Masterclass Workshop,Nature Masterclass hosts will attend to discuss about the journal and the value of completing the courses/workshops.,N,1/27/25,1/27/25,12:00 PM,1:00 PM,N,Y,"Nature Masterclass hosts will discuss the courses available and how to get best out of the program. You will learn about expert trainer-led courses and workshops for personal and professional development. Receive a certification by completing the featured courses such as Writing a Research paper, Publishing a Research Paper, Persuasive Grant Writing etc.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/Fq_NiroDTIizkTNFQ--CUA
Cultivation of Mentoring Networks,Cultivation of Mentoring Networks,Identify your needs and create a plan to build a mentoring network to support your short and long-term goals.,N,1/29/25,1/29/25,12:00 PM,1:00 PM,N,Y,"This hands-on experience seminar will help you learn how to cultivate and expand your mentoring network to support your short and long-term goals. You will also learn how to do a self-assessment to create an IDP with CIMER-certified mentor, Dr. Madhumita Joshi. Receive an Effective Mentorship microcredential badge by completing the seminar series. If you can't make it in person, join us virtually here.",Student Union 2.02.12 - Willow/Virtual,,,,"In-person: https://utsa.az1.qualtrics.com/jfe/form/SV_4ZSSTG3GVHc6v1Y
Virtual: https://utsa.zoom.us/meeting/register/tJcqduqurTIuE9cgTdSzF6z9_6MYXAQtG9al"
Postdoctoral Affairs seminar series,Postdoctoral Affairs seminar series,"This session, open to all grad students and postdocs, will discuss non-resident alien taxation.",N,2/3/25,2/3/25,12:00 PM,1:00 PM,N,Y,"This session, open to all grad students and postdocs, will discuss non-resident alien taxation, led by Nnennaya Ikwuagwu, UTSA Director of Payroll Services.",Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/85uDmx70SWaacr4UNGv-EA
Professional and Career Development Session 4: AI in Academia: Leveraging Generative AI for Advanced Teaching and Research ,Professional and Career Development Session 4: AI in Academia: Leveraging Generative AI for Advanced Teaching and Research ,Discover how ChatGPT and advanced AI tools are transforming education and research. ,N,2/5/25,2/5/25,12:00 PM,1:00 PM,N,Y,"Discover how ChatGPT and advanced AI tools are transforming education and research. This workshop explores practical applications of AI for academic writing, data analysis, teaching innovation, and more. Participants will learn to critically use and assess AI's capabilities while enhancing their efficiency and creativity in higher education in this session led by Claudia Arcolin,UTSA Executive Director of Digital Learning.",Student Union 2.02.12 - Willow/Virtual,,,,"In-person: https://utsa.az1.qualtrics.com/jfe/form/SV_9t2g3T6nnvo4nKS
Virtual: https://utsa.zoom.us/meeting/register/C33arvveTdOf6h6iJ19PVw"
Doctoral Welcome & Launch Orientation,Doctoral Welcome & Launch Orientation,Orientation for new doctoral students to introduce UTSA resources for success.,N,2/5/25,2/5/25,4:30 PM,6:00 PM,N,Y,Orientation for new doctoral students to introduce UTSA resources essential for success as they start their Bold Doctoral Journey.,GSR 2.106 - VPR Conference Room,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_bf1jafqFgjSjPnM
Downtown Campus Networking Event,Downtown Campus Networking Event,You're invited to celebrate the start of the spring semester at our Downtown Campus Networking event to develop a professional network and build a community with your peers. ,N,2/6/25,2/6/25,4:30 PM,6:00 PM,N,Y,The UTSA Graduate School invites you to celebrate the start of the spring semester at our Downtown Campus Networking event! This is a perfect opportunity for graduate students to develop a professional network and build a community with their peers. We look forward to seeing you there.,Durango Building 1.116 - La Villita Room ,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_0TXpD3V5ue8KrrM
First Friday,First Friday,This signature Graduate School event at the UTSA 1604 campus is a great place to network with fellow graduate students and learn about resources.,N,2/7/25,2/7/25,9:00 AM,11:00 AM,N,Y,Kick off the spring semester with us at First Friday! This signature Graduate School event is a great place to network with fellow graduate students and grab complimentary coffee and donuts. You will also receive information regarding Graduate School resources for your professional and career development.,Student Union 2.01.28 - Denman Ballroom,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_etzVLlWjhSQfmT4
Doctoral Workshop: Digital Learning - Library Resources,Doctoral Workshop: Digital Learning - Library Resources,Meet with a UTSA librarian and the UTSA Graduate School Retention and Graduation team to learn about Graduate School and UTSA Libraries resources for graduate students.,N,2/13/25,2/13/25,9:00 AM,10:00 AM,N,Y,Meet with a UTSA librarian and the UTSA Graduate School Retention and Graduation team to learn about Graduate School and UTSA Libraries resources for graduate students. This is a great opportunity to have all your library-related questions answered and explore what UTSA Libraries and the Graduate School has to offer! ,John Peace Library 2.01.22- Group Spot B ,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_4IsJ5GbTtVQvbuu
Career Pathways: Alumni Career Story,Career Pathways: Alumni Career Story,Join us for our Alumni Career Story featuring a UTSA Graduate School alum who will discuss their career pathway from graduate student to a professional position outside academia.,N,2/19/25,2/19/25,12:00 PM,1:00 PM,N,Y,Join us for our Alumni Career Story featuring a UTSA Graduate School alum who will discuss their career pathway from graduate student to a professional position outside academia. Attendees will learn about professional careers and learn about the career paths of our esteemed alumni speaker to achieve their professional goals.,Virtual (Zoom),,,,https://utsa.zoom.us/meeting/register/mIbNMe4aRVqXedOlPLA8Qw
Doctoral Candidacy Orientation,Doctoral Candidacy Orientation,"Doctoral candidates will learn about CIRTL, RCR, ethics, forms, committees and more during this orientation. ",N,2/19/25,2/19/25,4:30 PM,6:00 PM,N,Y,"Doctoral candidates in the candidacy stage will learn about CIRTL, RCR, ethics, forms, committees and more during this orientation. ",H-E-B Student Union 1.104 - Ballroom,,,,https://utsa.az1.qualtrics.com/jfe/form/SV_cTpH2xhU5peSjfU
