TeamName,ProjectTitle,ProjectAbstract
Blood Bag,Blood Filtration: Extension of Shelf Life,"Uncontrolled hemorrhage is the leading cause of preventable deaths on the battlefield. A patient in hemorrhagic shock would be treated primarily through blood transfusions, but it is not without its risks. The longer blood is stored, the more potassium and citrate increase which is deadly in large quantities. This project was endorsed by the USAISR to develop a design that fulfilled their needs. This device will reduce those substances so that blood can be stored for longer periods. This counter current hemodialysis device will use dialysate and filters to reduce potassium and citrate from blood via a dual pump system."
C.R. Tek,Nervana ,"The Electromagnetic Therapy Glove, utilizes Pulsed Electromagnetic Field (PEMF) technology delivered through copper coils to stimulate nerve regeneration and improve blood circulation, offering drug-free, Millions suffer from chronic hand pain and nerve damage due to conditions like carpal tunnel syndrome, arthritis, and neuropathy, with limited long-term, non-invasive treatment options. Our solution, the Electromagnetic Therapy Glove, utilizes Pulsed Electromagnetic Field (PEMF) technology delivered through copper coils to stimulate nerve regeneration and improve blood circulation, offering drug-free, wearable pain relief. Designed for daily use, the glove features a rechargeable lithium battery, intuitive user interface, and medical-grade materials, ensuring an affordable, convenient, and effective alternative to traditional treatments."
Charge Cycles,Pedal Powered Generator,"The Charge Cycles E-Bike offers a sustainable and efficient transportation solution by integrating a pedal-powered generator and a parallel battery management system (BMS). By utilizing an axial flux generator to convert mechanical to electrical energy, effective range can be extended through a parallel BMS that recharges the battery or supplies power to the motor as needed. This design improves efficiency through energy recovery, while ensuring optimal performance and usability. Compliant with safety and environmental standards, an E-bike implemented with this system is ideal for commuters and eco-conscious cyclists, providing a practical, and more efficient alternative to traditional models while supporting the transition to cleaner mobility solutions"
FlexSense,Trauma Sensor Array,"The Trauma Sensor Array project is designed for military personnel as an aid in detecting injuries. For this application, a wire-mesh sleeve is placed around an armor plate and used in a protective vest. The mesh sleeve consists of wires that detect impact force and penetration. The wires carry low voltage signals that are detected with sensors and processed using a set of microcontrollers. To transmit data, the LoRaWAN communication method is used. The data provides the system’s user with instant access to information on the status of personnel wearing the vest including location, and notifies them about the severity of any sustained injuries they may receive."
HyperVue,AI Sports Tracking Camera,"HyperVue is an AI-powered sports tracking camera designed to automatically follow and record a selected player or object in real time. Our system integrates the Jetson Orin Nano for object detection and multiple object tracking, while the ESP32 receives commands from the Jetson to control the yaw and pitch motors, enabling smooth and responsive motion. Designed for athletes, coaches, and sports enthusiasts, the compact, battery-powered camera operates for up to 2.5 hours and supports mobile app connectivity for live control and cloud storage. HyperVue improves accessibility and simplifies game analysis. "
NeuroBionics,Manus Nova,"This project focuses on developing software for an intelligent prosthetic arm that
leverages real-time electromyographic (EMG) signal processing and AI algorithms to improve functionality and responsiveness. The software is designed to enhance movement accuracy, comfort, and energy efficiency, addressing high abandonment rates in prosthetic arms. By incorporating machine learning models, the software adapts to each user's unique needs and allows for ongoing customization. This approach ensures the prosthetic arm evolves with technological advancements, promising improved user satisfaction and a more natural, intuitive prosthetic experience.
"
NeuroStep,NeuroStep,"NeuroStep is a smart shoe insert that detects the risk of foot ulcers, especially in diabetics. These ulcers, caused by neuropathy or poor circulation, often go unnoticed. NeuroStep uses multiple force sensors to assess foot pressure during a 30-second walk. The data, calibrated to body weight, is sent via Bluetooth to an app for processing. Users can view results and export them for doctors. This easy-to-use system helps detect early warning signs, enabling timely intervention and reducing the risk of severe complications, improving overall foot health."
Pallet Pioneers,PalletPortal,"Shipments received on pallets are typically stretch wrapped, making scanning the barcode on the goods difficult. PalletPortal leverages object tracking and high-resolution cameras to scan the barcodes of entire pallets without the need to remove stretch wrap. The device consists of a dual-archway structure installed in front of a loading bay door. Pallets are transported by forklift to the floor between the archways, where a series of cameras are used to obtain barcode images for all goods on the pallet without having to remove the stretch wrap. PalletPortal’s onboard software uses low-level probability analysis to verify goods and check manifests."
Qura Technologies,Qura Band,"The QURA Fitness Band is an affordable, compact, wearable device designed to help users track and improve their overall health. It monitors key vital signs, including heart rate, blood oxygen (SpO2), respiratory rate, and body temperature, providing real-time feedback through an easy-to-use mobile application. Unlike competitors, QURA prioritizes affordability, accuracy, and cross-platform compatibility without requiring costly subscriptions. The band empowers users to make informed health decisions by integrating advanced sensors and AI-driven insights. Our goal is to provide accessible, personalized health tracking for fitness enthusiasts, health-conscious individuals, and anyone seeking to take better control of their wellness management."
Team #1-Team Dell,Create and Compare Making an AI Security App on Two Dell Laptops,"This project demonstrates the efficiency and practicality of on-device AI for cybersecurity. The AI-powered security application runs locally on Dell laptops, enabling real-time threat detection and response without cloud reliance. This improves system performance and preserves user privacy. The design is benchmarked across two Dell laptops with different hardware, evaluating AI efficiency, power consumption, and resource use. A streamlined user interface displays live threat levels and system health, ensuring both performance and usability are clearly communicated.
"
