system-name,title,summary,degree,location,completionTime,img,alt
program-04,Napology 101,Master the art of napping for academic success,Certificate,Main Campus,2 years,/blocks/program/images/cs-img1.jpg,students working together on steps looking at a computer screen
program-05,Yoga for Computer Science Majors,Find inner peace while debugging your code,Certificate,Online,4 years,/blocks/program/images/cs-img2.jpg,student studying on computer in campus mess hall
program-06,Pizza Tasting Certification,Become a certified pizza connoisseur,Certificate,Off Campus,2 years,/blocks/program/images/cs-img3.jpg,students working together in dorm chairs.
program-07,Intro to Conspiracy Theories,Explore the weirdest and wildest theories,Associate,Online,4 years,/blocks/program/images/cs-img4.jpg,students looking at tv presentation in class.
program-08,Creative Excuse Writing Workshop,Craft perfect excuses for missed deadlines,Certificate,Main Campus,2 years,/blocks/program/images/cs-img5.jpg,student presents report in front of student class.
program-09,Binge-Watching 101,Hone binge-watching skills for academic success,Certificate,Online,2 years,/blocks/program/images/cs-img1.jpg,students working together on steps looking at a computer screen
program-10,How to Survive a Zombie Apocalypse,Essential skills for the unlikely undead scenario,Bachelor's,Off Campus,4 years,/blocks/program/images/cs-img2.jpg,student studying on computer in campus mess hall
program-11,Theater of Awkward Situations,Embrace awkwardness with style and confidence,Associate,Main Campus,4 years,/blocks/program/images/cs-img4.jpg,students looking at tv presentation in class.
program-12,Underwater Basket Weaving Extravaganza,Dive into the world of aquatic handicrafts,Associate,Off Campus,2 years,/blocks/program/images/cs-img6.jpg,student friends pose together in between classes.
program-13,Extreme Note-Taking Techniques,Elevate note-taking to extreme levels of efficiency,Certificate,Online,4 years,/blocks/program/images/cs-img1.jpg,students working together on steps looking at a computer screen
program-14,Intro to Procrastination Studies,Delve into the art and science of procrastination,Certificate,Main Campus,2 years,/blocks/program/images/cs-img2.jpg,student studying on computer in campus mess hall
program-15,How to Win Arguments on the Internet,Develop unbeatable online debating skills,Certificate,Online,4 years,/blocks/program/images/cs-img6.jpg,student friends pose together in between classes.
program-16,Computer Science,Develop coding skills for tech careers.,Bachelor's,Main Campus,4 years,/blocks/program/images/cs-img3.jpg,students working together in dorm chairs.
program-17,Nursing,Learn patient care and medical skills.,Bachelor's,Main Campus,4 years,/blocks/program/images/cs-img6.jpg,student friends pose together in between classes.
program-18,Finance,Master business finance strategies.,Graduate,Online,2 years,/blocks/program/images/cs-img2.jpg,student studying on computer in campus mess hall
program-19,Graphic Design,Explore visual communication.,Bachelor's,Main Campus,4 years,/blocks/program/images/cs-img4.jpg,students looking at tv presentation in class.
program-20,Criminal Justice,Study law enforcement and legal systems.,Bachelor's,Off Campus,4 years,/blocks/program/images/cs-img3.jpg,students working together in dorm chairs.
program-21,Elementary Education,Prepare for a career in teaching.,Bachelor's,Main Campus,4 years,/blocks/program/images/cs-img6.jpg,student friends pose together in between classes.
program-22,Psychology,Understand human behavior and mental processes.,Bachelor's,Online,4 years,/blocks/program/images/cs-img1.jpg,students working together on steps looking at a computer screen
