TeamName,ProjectTitle,ProjectAbstract
DEM Boyz Engineering Group,Industrial 3D Materials Dry Cabinet,The Industrial 3D Materials Dry Cabinet aims at revolutionizing the way 3D materials are stored at a much larger scale than anything being offered out in the market. The storage cabinet can hold 120 1kg &amp; 32 8kg spools of 3D printing filament. It will achieve levels of 1%-20% Relative Humidity. It will accomplish this via a desiccant air loop system powered by either a continuous cycle air compressor or a shop air line. The main cabinet is accompanied by a second smaller SLA cabinet designed to hold 14 different 3D printing resins.
Team Arc,Arc,"Arc (auto rotating caster) is about developing a safer way to cast metal for the bottom pour technique. Our group was split into two teams. One team is developing a prototype at room temperature. With a use of a dc motor he mechanism we have allows for the liquid inside the crucible to be stirred when spinning one way without the leakage. Once the mechanism spins the opposite direction, two holes align and the liquid exits the crucible. Our prototype is made out of 3D printed plastic and plexiglass. The other team is experimenting with the reactivity of molten bismuth and other materials to create a mold."
Team ARC,AUTO ROTATING CASTER (ARC),I'm corporating bottom pouring method to a crucible and testing material compatibility for alternative mold materials.
Electromech Solutions,Data Recorder System Interface,"This project requires the design and development of a desktop computer flight data recorder and input instrumentation for classroom use. The purpose of the device will allow U.S. Air Force Academy Cadets to learn about data recording on their flight systems and general avionics. Southwest Research Institute Aerospace Structures Section has commissioned this effort to be designed and built by a UTSA Senior Mechanical Engineering Design Team. The device operates with two Raspberry Pi-based computers and has an accelerometer, pressure transducers, a strain gauge, and a thermocouple. The input computer controls the mechanical systems to simulate various flight profiles with varying flight parameters and the output computer records the resulting flight profile data. The device will measure altitude, airspeed, acceleration, aerothermodynamic properties, and structural fatigue data from the given flight input parameters."
Engineering Intelligent Robotics,A.L.L.I.E. - Automated Liquid Loading with Intelligent Execution,"Automated Liquid Loading with Intelligent Execution, or ""ALLIE"" for short, was created with the goal of automating the process of filling oral syringes. ALLIE aims to fulfill the tasks of transporting, filling, capping, labeling, and batching the oral syringes, allowing pharmacy technicians to delegate time otherwise spent on preparing prefills to more important responsibilities. ALLIE strives to accommodate varying types of oral medicine as well as varying sizes of oral syringes in an efficient manner, delivering punctuality without sacrificing flexibility. For this capstone project, the scope was limited to the subsystems involved in the filling, capping and transporting processes for 3mL syringes."
Regolith Rovers,Lightweight Lunar Vehicle,"The proposed project aims to create a light-weight lunar spacecraft capable of operating at the client's requested performance while minimizing superfluous bulk. Sensors must also be installed to provide adequate performance data for motor tuning. To do this, rover platforms will be designed and analyzed to sustain the lunar vehicle while safeguarding sensitive electronics from simulated regolith. The most prominent solution will prioritize performance and mass efficiency while also being cost effective when selecting base materials, being maneuverable for zero radius turns, durable enough to ensure the safety of the motors and sensors, providing adequate driving force to maximize payload relocation, and output performance data to aid with simulations."
Heat-Safe Engineering,Heat Resilient Surveillance System,"Heat-Safe Engineering is commissioned to engineer an advanced second-generation modular camera housing assembly. This unit is designed for high-temperature applications, including combustion chambers, reactors, incinerators, and furnaces. The objective is to augment SwRI's capability to provide clients with a vivid, real-time visual inspection of furnace interiors, thereby enhancing data presentation with superior visual interpretation. As the project progresses into its advanced phase, advanced cooling methodologies, including pneumatic cooling systems, will be evaluated and implemented to mitigate extreme thermal conditions."
Rowdy Knights,C-17 Stacker,"To address concerns about the functionality of the C-17's ability to carry people and cargo, our team is developing the C-17 Stacker in conjunction with Knight Aerospace. The C-17 is a large cargo aircraft commonly used in the transportation of oversized products. However, on occasion, the C-17 has been used to transport people for evacuations or rapid mobilizations of military personnel. To optimize the mission functionality of C-17s, our project will take advantage of the overhead dead space commonly available during the transportation of cargo by using an elevated pallet system that will roughly double the amount of personnel that can be transported."
Seasoned Professionals,Chicken Seasoning Machine,"Due to multiple issues with a flour dispenser repurposed for seasoning chicken including high setup and maintenance times, seasoning waste, imprecise amounts of seasoning applied, and more, the client is requesting a new machine for seasoning chicken. The Chicken Seasoning Machine, or CSM, is the proposed design to solve those issues. It actuates a flip via an inclined conveyer system and by controlling the speed of a screw feeder mechanism loaded with seasoning that is set to run upon detection of chicken via infrared sensors, the machine can deliver precise amounts of seasoning."
The Good Shepherd,The Good Shepherd,"The Good Shepherd Senior Design team has designed a dual frequency ultrasonic device. This device's intended purpose is to assist in the herding of livestock such as cattle and sheep through acoustic motivation. The device is powered by a standard ATV lead acid battery and can be mounted onto a standard ATV rifle rack. Dual ultrasonic frequencies have been chosen to create a unique sound for livestock to react to, that is outside the standard hearing range for humans. The group is pursuing IP protection and to present the device for commercialization. This project is sponsored by Dr. Keith Axler and the UTSA Mechanical Engineering Dept."
