TeamName,ProjectTitle,ProjectAbstract
Trail Rescue Extrication Litter (TREL),Adjustable Trail Rescue E-Bike Litter,"Rapid and safe patient extrication is crucial for survival in search and rescue emergencies. To address this, the Adjustable Trail Rescue E-bike Litter - a lightweight, innovative solution is designed specifically for rough terrain and narrow pathways. Unlike traditional litters, ATREL places the patient in a stable, adjustable seated posture, reducing space requirements and enhancing maneuverability with a focus on minimizing manual lifting and ensuring functionality for the average male mountain biker population. Rigorous durability and safety testing will ensure its reliability. This project aims to revolutionize patient extrication on mountain bike trails, improving outcomes."
Biopiece,head and neck active cooling collar,"The head and neck, active cooling collar, it’s a cervical collar that is placed during ER transport or rapid response services, it will reduce the severity of head and neck, trauma, and will help in reducing the severity of heart attacks."
Sternal Secure,Sternal Reduction Instrument System,"When performing sternal closure after thoracic surgery, maintaining the correct alignment and compression of the sternum is crucial for proper healing. However, current sternal reduction systems face significant challenges in maintaining this alignment and compression during the placement of implants.​ There is a need to ensure proper alignment and stability of the sternum during sternal fixation procedures to reduce the risk of complications such as dehiscence, malunion, and nonunion, ultimately enhancing patient recovery and outcomes.​"
VitalFusion,A Blood Filtration System for Prolonged Storage,"Blood is a vital but limited resource, with a significant number of blood units discarded annually due to expiration. Therefore, there is a need for a reusable medical device that can support a new method of anticoagulating whole blood for prolonged storage and eventual transfusion. This project aims to develop a reusable blood filtration device that exchanges calcium and/or potassium ions with sodium using a chelating ion exchange resin. Additionally, the device will allow for a whole blood unit to be anticoagulated at a time, with a smooth integration with current medical equipment."
FOAL Medical,lymphatic drainage system,"This project focuses on the lymphatic system, a critical part of the immune and circulatory systems that helps remove toxins, waste, and excess fluids from tissues. The lymphatic system plays a vital role in maintaining fluid balance, supporting immune function, and defending the body against infection. This project seeks to develop an efficient way to drain excess lymphatic fluid from the body, in patients with breast cancer and Congestive heart failure."
Tolusax,Novel Endotracheal Tube System,"Securing the airway is crucial in emergency rescues, especially in combat zones. The endotracheal tube design, unchanged for nearly a century, is problematic due to its temperature-sensitive PVC material and the need for multiple pressure cuff inflations, which can damage the trachea. Effective intubation often requires head and neck repositioning, not always feasible in emergencies, and extensive medical training. There is an urgent need for a new airway introducer that reduces time, steps, and tools required, enhancing efficiency and safety in emergency airway management."
DART Med,Improving Intermittent Catheterization for Neurogenic Bladder Dysfunction,"Neurogenic bladder dysfunction patients, including those with conditions like spinal cord injuries, Spina Bifida, and Parkinson’s disease, often rely on intermittent catheters 5-6 times a day to manage bladder emptying. Many of these patients have limited dexterity, making catheter insertion challenging and sometimes leading to complications. There is a need to improve the intermittent catheter insertion for neurogenic bladder dysfunction patients with limited dexterity to enhance user independence and minimize complications. Our design addresses this by creating an innovative catheter that offers better handling and grip, making the insertion process smoother and more accessible for those with reduced hand mobility."
Nova Health,Sample Collection Device for Pap Smear,"Women’s health is underprioritized in healthcare, exemplified by the pap smear exam. Outdated instruments are painful and uncomfortable for 58.8% of women, potentially decreasing screening compliance. In 2024, 50% of cervical cancer cases occur in women not routinely screened. Early detection improves treatment outcomes, with 90% of early-stage diagnosis resulting in 5+ year survival compared to 20% for late-stage cases. Of the 12,500 cervical cancer cases in 2021, nearly 30% resulted in mortality, highlighting early detection screening importance. Our team strives to address the need for more comfortable and efficient pap smear sample collection procedures to encourage patient screening compliance."
Take Two Technologies,Skin Traction,"We need to reduce skin damage and apply and distribute force appropriately when using skin traction. The current use of Buck’s traction lacks portability, is not antibacterial, lacks standard weights, tears skin, creates an angle instead of parallel force, and has uneven distribution of load. We intend to adjust current designs through changing material to reduce rates of infection, changing how the device mounts to beds to improve portability, and changing how the device is structured to address shear force issues. These design concepts are well within the team's capabilities."
ProTech,Male Contraceptive Device,"The current landscape of male contraceptives is limited with men primarily relying on condoms or vasectomy; options that either require diligent use or are considered permanent. Designed to be low-maintenance and effective without daily intervention, the VasGuard aims to obstruct sperm travel through the vas deferens while allowing users to regain fertility upon removal of the device. Our innovative device taps into an expanding market, offering men a reliable, reversible, and long-term solution that empowers them to take control of their reproductive health while simultaneously reducing the reliance on female-focused contraceptive options."
