PosterID,TeamName,ProjectTitle,ProjectAbstract,SponsorName
1,Birdwatch,Develop and Benchmark NPU-Accelerated IT &amp; Security Applications on Two Dell AI PC Architectures,"Our project presents Birdwatch, an innovative AI and IT security system that leverages the Neural Processing Unit (NPU) in modern Dell AI laptops to run pre-trained large language models (LLMs) for real-time network monitoring and analysis. Birdwatch inspects network packets locally and uses advanced LLM reasoning to generate natural language summaries of network behavior—enhancing privacy, responsiveness, and enterprise reliability. A built-in AI chatbot supports IT and AI operations, answering complex questions about performance and system insights. By shifting workloads to the low-power NPU, Birdwatch frees the CPU and GPU for productivity tasks, delivering a seamless blend of efficiency, intelligence, and conversational capability on modern AI hardware.",Dell Technologies
2,C.R. TEK Innovations ,NerVANA,"Abstract: 
The Electromagnetic Therapy Glove delivers Pulsed Electromagnetic Field (PEMF) therapy through 
integrated copper coils to relieve wrist pain and stimulate nerve regeneration. Designed to assist 
individuals with carpal tunnel syndrome and repetitive strain injuries, the glove promotes improved 
blood circulation and reduced inflammation through targeted electromagnetic stimulation. A 
rechargeable lithium battery powers the compact system, while an intuitive interface and medical-grade 
materials ensure comfort, safety, and daily usability. This wearable, drug-free solution offers an 
affordable and convenient alternative to conventional pain management methods such as medication, bracing or surgery.",
3,Charge Cycles,Charge Cycles,"The Charge Cycles E-Bike offers a sustainable and efficient transportation solution by integrating a pedal-powered generator into the existing E-bike drivetrain. By utilizing an axial flux generator to convert mechanical to electrical energy, effective range can be extended through a dynamic power supply that functions as a secondary battery to power the motor as needed. This design improves efficiency through energy recovery, while ensuring optimal performance and usability. An E-bike implemented with this system is ideal for commuters and eco-conscious cyclists, providing a practical, and more efficient alternative to traditional models while supporting the transition to cleaner mobility solutions.",William Stoner
4,Hypervue AI Sports Tracking Camera,Hypervue AI Sports Tracking Camera,"Our team is developing a portable AI Sports Tracking Camera designed to automatically follow athletes and record gameplay without manual camera control. The system uses an NVIDIA Jetson Orin Nano to perform real-time object detection and tracking, while an ESP32 microcontroller controls servo motors for smooth pan-tilt motion. The user interfaces with a custom app which uses a token-based system to ensure consistent, scalable, and accessible visuals across devices. Providing live viewing, cloud video storage, and remote-control features, this project offers users an accessible way to capture professional-quality footage on any standard tripod.  ",
6,Neurobionics ,Manus Nova,"This project presents the design and implementation of a modular
electromyography (EMG) sensor system capable of predicting finger position in
real time. The system employs multiple surface EMG sensors to capture muscle
activity from the forearm, which is then processed through a modular hardware
and software architecture. Each sensor module performs local signal
conditioning, amplification, and filtering before transmitting data to a central
processing unit. The collected EMG signals are fed into a trained machine
learning model that maps muscle activation patterns to corresponding finger
positions. The modular design allows for scalability, simplified maintenance, and
flexibility in electrode placement, enabling adaptation to various users and use
cases. Experimental results demonstrate that the system can accurately infer
fine-grained finger movements, providing a foundation for advanced prosthetic
control, human-computer interaction, and rehabilitation applications.
",
7,NeuroStep,NeuroStep,"NeuroStep is a smart shoe insert that detects the risk of foot ulcers, especially in
diabetics. These ulcers, caused by neuropathy or poor circulation, often go unnoticed. NeuroStep uses multiple force sensors to assess foot pressure during a 30-second walk. The data, calibrated to body weight, is sent via Bluetooth to an app for processing. Users can view results and export them for doctors. This easy-to-use system helps detect early warning signs, enabling timely intervention and reducing the risk of severe complications, improving overall foot health.",
8,FlexSense,Project Title: FlexSense / Project: Trauma Sensor Sensor,"The FlexSense project is a trauma sensor array designed to enhance injury detection and reduce response times for rapid medical intervention for military applications. The system integrates a wire mesh and piezoresistive force sensor array mounted on an armor plate within a vest. The wire mesh detects penetration events, while the force sensors register impacts and concussive blasts. Data is processed by an embedded microcontroller system and transmitted via LoRaWAN. The data is displayed in real-time, providing immediate location and injury information on a dashboard interface.",Chad Webster
9,Pallet Pioneers,palletPortal,"Shipments received on pallets are typically stretch wrapped, making barcode scanning difficult. Prior to shipment, workers often need to remove the wrap and manually scan each product’s barcode with a handheld device. This process is time consuming, expensive, and often results in damaged packaging and goods. Pallet Portal addresses this issue through an automated dual archway design that uses a series of cameras to capture barcode images for all goods on a pallet without removing the wrap. The system employs a supervised learning AI algorithm using PyTorch, YOLO, OpenCV, and pyzbar to identify and decode barcodes.",
10,QURA Technologies,Qura Band,"The QURA Fitness Band is an affordable, compact, wearable device designed to help users track and improve their overall health. It monitors key vital signs, including heart rate, blood oxygen (SpO2), respiratory rate, and body temperature, providing real-time feedback through an easy-to-use mobile application. Unlike competitors, QURA prioritizes affordability, accuracy, and cross-platform compatibility without requiring costly subscriptions. The band empowers users to make informed health decisions by integrating advanced sensors and AI-driven insights. Our goal is to provide accessible, personalized health tracking for fitness enthusiasts, health-conscious individuals, and anyone seeking to take better control of their wellness management.",
11,The CCF Team,The Counter Current Hemodialysis Device,"Stored blood is a modern resource that has saved countless lives and is a key component in life-saving procedures like blood transfusions. However, when blood is stored outside the body, potassium and citrate are released over time, which can prove deadly in large quantities. The USAISR endorsed our project, the CCF, to develop a countercurrent hemodialysis device so blood can be safely stored for longer. This device uses a dual pump system and filter to reduce unwanted toxins by creating a counterflow between the dialysate and blood, allowing diffusion of citrate and potassium out of the blood and into the dialysate.",Cellphone Repair
